Name;Mass;num-amide;num-OC;num-NC;#theo;#exper;TopID;Derep+ scr;Derep+ rank;Derep-g scr;Derep-g rank;Derep scr;Derep rank;#matches;MF1;#isomers;dnp-class;SMILES1;MF2;SMILES2
Puwainaphycin_B_M+H;1232.74;10;4;24;260;158;Puwainaphycin_B_M+H;48;1;2;7;24;1;145;C59H100N12O16;3;aminoacids/peptides;NC(C[C@H]1C(N2[C@H](C(N[C@@H]([C@@H](O)C(N[C@@H](C(C)C)C(N/C(C(N[C@H](C(N[C@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@H](C(N1C)=O)[C@@H](OC)C)=O)=O)=O)C(C)C)=O)[C@@H](O)C)=O)=C/C)=O)=O)[C@@H](C)CCCCCCCCCC(CCCC)=O)=O)CCC2)=O)=O;C59H100N12O16;[H]O[C@@]([H])(C([H])([H])[H])[C@]1([H])N([H])C(=O)\C(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(O[H])[C@]([H])(N([H])C(=O)[C@@]2([H])N(C(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])=C(\[H])C([H])([H])[H]
Cyclosporin_A_M+H;1201.84;11;1;29;272;81;Cyclosporin_A_M+H;48;1;1;10;29;1;143;C62H111N11O12;6;none;CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C;C62H111N11O12;[H]OC([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])([H])[H])C1([H])N(C(=O)C([H])(N(C(=O)C([H])(N(C(=O)C([H])(N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N(C(=O)C([H])(N([H])C(=O)C([H])(N(C(=O)C([H])([H])N(C(=O)C([H])(N([H])C1=O)C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
NCGC00384896-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(11-methyltridecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H;1084.59;8;2;21;128;165;NCGC00384896-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(11-methyltridecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H;41;1;1;33;12;1;218;C51H80N12O14;2;none;CCC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N3CCCC3C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1;C51H80N12O14;[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H]
NCGC00385300-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(10-methylundecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H;1056.56;8;2;21;128;162;NCGC00385300-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(10-methylundecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H;40;1;1;40;15;1;209;C49H76N12O14;3;none;CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N3CCCC3C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1;C49H76N12O14;[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H]
NCGC00384723-01!3-[15_21-bis(2-amino-2-oxoethyl)-3-(1-hydroxyethyl)-6_12-bis(hydroxymethyl)-18-[(4-hydroxyphenyl)methyl]-25-(10-methylundecyl)-2_5_8_11_14_17_20_23-octaoxo-1_4_7_10_13_16_19_22-octazacyclopentacos-9-yl]propanoic_acid_M+H;1034.53;8;5;18;148;143;NCGC00384723-01!3-[15_21-bis(2-amino-2-oxoethyl)-3-(1-hydroxyethyl)-6_12-bis(hydroxymethyl)-18-[(4-hydroxyphenyl)methyl]-25-(10-methylundecyl)-2_5_8_11_14_17_20_23-octaoxo-1_4_7_10_13_16_19_22-octazacyclopentacos-9-yl]propanoic_acid_M+H;40;1;2;21;15;1;185;C47H74N10O16;2;none;CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(O)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1;C47H74N10O16;[H]OC(=O)C([H])([H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])O[H])C([H])(O[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C(=O)N([H])[H])C([H])([H])O[H]
NCGC00380731-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(11-methyldodecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H;1070.58;8;2;21;128;162;Iturin_C_Iturin_C3;40;1;0;209;16;1;209;C50H78N12O14;2;none;CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N3CCCC3C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1;C50H77N11O15;[H]OC(=O)C([H])([H])C1([H])N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C(O[H])=N[H])C([H])([H])C([H])([H])C(O[H])=N[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(O[H])=N[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
NCGC00347522-02!2-[[1-[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[(2-acetamido-3-phenylpropanoyl)amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-3-methylbutanoyl]amino]acetyl]amino]-4-methylpentanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]-4-hydroxypyrrolidine-2-carbonyl]amino]-N-[1-[4-hydroxy-2-[[1-[(1-hydroxy-3-phenylpropan-2-yl)amino]-2-methyl-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-2-methyl-1-oxopropan-2-yl]pentanediamide_M+H;1558.88;16;3;33;64;190;NCGC00347522-02!2-[[1-[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[(2-acetamido-3-phenylpropanoyl)amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-3-methylbutanoyl]amino]acetyl]amino]-4-methylpentanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]-4-hydroxypyrrolidine-2-carbonyl]amino]-N-[1-[4-hydroxy-2-[[1-[(1-hydroxy-3-phenylpropan-2-yl)amino]-2-methyl-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-2-methyl-1-oxopropan-2-yl]pentanediamide_M+H;36;1;16;1;16;1;32;C76H118N16O19;1;none;CC(C)CC(NC(=O)CNC(=O)C(NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N2CC(O)CC2C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)N3CC(O)CC3C(=O)NC(C)(C)C(=O)NC(CO)CC4=CC=CC=C4;C76H118N16O19;[H]OC([H])([H])C([H])(N([H])C(=O)C(N([H])C(=O)C1([H])N(C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C([H])(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(O[H])C2([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(O[H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]
NCGC00385312-01_C60H98O29_alpha-L-Arabinopyranoside__(3beta_5xi_9xi_16alpha_18xi_22alpha)-22-(acetyloxy)-13_28-epoxy-16_23-dihydroxyoleanan-3-yl_O-beta-D-glucopyranosyl-(1->2)-O-[O-beta-D-glucopyranosyl-(1->4)-O-beta-D-xylopyranosyl-(1->2)-beta-D-glucopyranosyl-(1->4)]-_M+H;1282.62;2;40;0;22;164;13_28-Epoxy-3_16_22_28-oleananetetrol_22-Ac__3-O-[Ô_-D-glucopyranosyl-(1Šæê2)-[Ô_-D-glucopyranosyl-(1Šæê4)-[Ô_-D-xylopyranosyl-(1Šæê2)]-Ô_-D-glucopyranosyl-(1Šæê4)]-Ô±-L-arabinopyranoside];35;2;9;1;0;86;109;C60H98O29;6;none;CC(=O)O[C@H]1CC(C)(C)CC2[C@]13CO[C@@]24CCC5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]9OC[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]7O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@@](C)(CO)C6CC[C@@]5(C)[C@]4(C)C[C@H]3O;C60H98O29;[H]OC([H])([H])C1([H])OC([H])(OC2([H])C([H])(OC3([H])C([H])([H])C([H])([H])C4(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])C5(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C46OC([H])(O[H])C7(C4([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C7([H])OC(=O)C([H])([H])[H])C([H])(O[H])C([H])([H])C56C([H])([H])[H])C3(C([H])([H])[H])C([H])([H])[H])OC([H])([H])C([H])(OC3([H])OC([H])(C([H])([H])O[H])C([H])(OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])OC3([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C3([H])O[H])C2([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H]
_130099_M+H;873.521;7;4;13;136;75;_130099_M+H;34;1;1;37;9;1;311;C44H71N7O11;2;none;OC1=CC=C(CC(C(NC(C(C)C)C(OC(C(CCCCCCCCCC)C)CC(NC(C(NC(C(NC(C(NC2CCC(N)=O)=O)C)=O)C)=O)C(O)C)=O)=O)=O)NC2=O)C=C1;C44H71N7O11;[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(OC(=O)C([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H]
W493A_130005_M+H;887.537;7;4;13;136;75;W493A_130005_M+H;33;1;3;3;9;1;295;C45H73N7O11;3;none;OC1=CC=C(CC(C(NC(C(CC)C)C(OC(C(CCCCCCCCCC)C)CC(NC(C(NC(C(NC(C(NC2CCC(N)=O)=O)C)=O)C)=O)C(O)C)=O)=O)=O)NC2=O)C=C1;C45H73N7O11;[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(OC(=O)C([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H]
