Name	Mass	num-amide	num-OC	num-NC	#theo	#exper	TopID	Derep+ scr	Derep+ rank	Derep-g scr	Derep-g rank	Derep scr	Derep rank	#matches	MF1	#isomers	dnp-class	SMILES1	MF2	SMILES2	fingerprint	MFagreement	SMILES1_FP1	SMILES2_FP2
Puwainaphycin_B_M+H	1232.74	10.0	4.0	24.0	260.0	158.0	Puwainaphycin_B_M+H	48.0	1.0	2.0	7.0	24.0	1.0	145.0	C59H100N12O16	3.0	aminoacids/peptides	NC(C[C@H]1C(N2[C@H](C(N[C@@H]([C@@H](O)C(N[C@@H](C(C)C)C(N/C(C(N[C@H](C(N[C@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@H](C(N1C)=O)[C@@H](OC)C)=O)=O)=O)C(C)C)=O)[C@@H](O)C)=O)=C/C)=O)=O)[C@@H](C)CCCCCCCCCC(CCCC)=O)=O)CCC2)=O)=O	C59H100N12O16	[H]O[C@@]([H])(C([H])([H])[H])[C@]1([H])N([H])C(=O)\C(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(O[H])[C@]([H])(N([H])C(=O)[C@@]2([H])N(C(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])=C(\[H])C([H])([H])[H]	1.0	Yes	CC=C1NC(=O)C(C(C)C)NC(=O)C(O)C(C(C)CCCCCCCCCC(=O)CCCC)NC(=O)C2CCCN2C(=O)C(CC(N)=O)N(C)C(=O)C(C(C)OC)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(C(C)C)NC(=O)C(C(C)O)NC1=O	CC=C1NC(=O)C(C(C)C)NC(=O)C(O)C(C(C)CCCCCCCCCC(=O)CCCC)NC(=O)C2CCCN2C(=O)C(CC(N)=O)N(C)C(=O)C(C(C)OC)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(C(C)C)NC(=O)C(C(C)O)NC1=O
Cyclosporin_A_M+H	1201.84	11.0	1.0	29.0	272.0	81.0	Cyclosporin_A_M+H	48.0	1.0	1.0	10.0	29.0	1.0	143.0	C62H111N11O12	6.0	none	CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	C62H111N11O12	[H]OC([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])([H])[H])C1([H])N(C(=O)C([H])(N(C(=O)C([H])(N(C(=O)C([H])(N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N(C(=O)C([H])(N([H])C(=O)C([H])(N(C(=O)C([H])([H])N(C(=O)C([H])(N([H])C1=O)C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	1.0	Yes	CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C	CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
NCGC00384896-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(11-methyltridecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H	1084.59	8.0	2.0	21.0	128.0	165.0	NCGC00384896-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(11-methyltridecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H	41.0	1.0	1.0	33.0	12.0	1.0	218.0	C51H80N12O14	2.0	none	CCC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N3CCCC3C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1	C51H80N12O14	[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H]	1.0	Yes	CCC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1	CCC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1
NCGC00385300-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(10-methylundecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H	1056.56	8.0	2.0	21.0	128.0	162.0	NCGC00385300-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(10-methylundecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H	40.0	1.0	1.0	40.0	15.0	1.0	209.0	C49H76N12O14	3.0	none	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N3CCCC3C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1	C49H76N12O14	[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H]	1.0	Yes	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1
NCGC00384723-01!3-[15_21-bis(2-amino-2-oxoethyl)-3-(1-hydroxyethyl)-6_12-bis(hydroxymethyl)-18-[(4-hydroxyphenyl)methyl]-25-(10-methylundecyl)-2_5_8_11_14_17_20_23-octaoxo-1_4_7_10_13_16_19_22-octazacyclopentacos-9-yl]propanoic_acid_M+H	1034.53	8.0	5.0	18.0	148.0	143.0	NCGC00384723-01!3-[15_21-bis(2-amino-2-oxoethyl)-3-(1-hydroxyethyl)-6_12-bis(hydroxymethyl)-18-[(4-hydroxyphenyl)methyl]-25-(10-methylundecyl)-2_5_8_11_14_17_20_23-octaoxo-1_4_7_10_13_16_19_22-octazacyclopentacos-9-yl]propanoic_acid_M+H	40.0	1.0	2.0	21.0	15.0	1.0	185.0	C47H74N10O16	2.0	none	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(O)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1	C47H74N10O16	[H]OC(=O)C([H])([H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])O[H])C([H])(O[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)N([H])[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C(=O)N([H])[H])C([H])([H])O[H]	1.0	Yes	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1
NCGC00380731-01!3-[6_12_22-tris(2-amino-2-oxoethyl)-19-(hydroxymethyl)-9-[(4-hydroxyphenyl)methyl]-16-(11-methyldodecyl)-2_5_8_11_14_18_21_24-octaoxo-1_4_7_10_13_17_20_23-octazabicyclo[23.3.0]octacosan-3-yl]propanamide_M+H	1070.58	8.0	2.0	21.0	128.0	162.0	Iturin_C_Iturin_C3	40.0	1.0	0.0	209.0	16.0	1.0	209.0	C50H78N12O14	2.0	none	CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N3CCCC3C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1	C50H77N11O15	[H]OC(=O)C([H])([H])C1([H])N([H])C(=O)C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C1=O)C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C(O[H])=N[H])C([H])([H])C([H])([H])C(O[H])=N[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(O[H])=N[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]	0.8327974276527331	No	CC(C)CCCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)N2CCCC2C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)N1	CC(C)CCCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(=N)O)C(=O)NC(CCC(=N)O)C(=O)N2CCCC2C(=O)NC(CC(=N)O)C(=O)NC(CO)C(=O)N1
NCGC00347522-02!2-[[1-[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[(2-acetamido-3-phenylpropanoyl)amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-3-methylbutanoyl]amino]acetyl]amino]-4-methylpentanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]-4-hydroxypyrrolidine-2-carbonyl]amino]-N-[1-[4-hydroxy-2-[[1-[(1-hydroxy-3-phenylpropan-2-yl)amino]-2-methyl-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-2-methyl-1-oxopropan-2-yl]pentanediamide_M+H	1558.88	16.0	3.0	33.0	64.0	190.0	NCGC00347522-02!2-[[1-[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[(2-acetamido-3-phenylpropanoyl)amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]amino]-3-methylbutanoyl]amino]acetyl]amino]-4-methylpentanoyl]amino]-2-methylpropanoyl]amino]-2-methylpropanoyl]-4-hydroxypyrrolidine-2-carbonyl]amino]-N-[1-[4-hydroxy-2-[[1-[(1-hydroxy-3-phenylpropan-2-yl)amino]-2-methyl-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-2-methyl-1-oxopropan-2-yl]pentanediamide_M+H	36.0	1.0	16.0	1.0	16.0	1.0	32.0	C76H118N16O19	1.0	none	CC(C)CC(NC(=O)CNC(=O)C(NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N2CC(O)CC2C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)N3CC(O)CC3C(=O)NC(C)(C)C(=O)NC(CO)CC4=CC=CC=C4	C76H118N16O19	[H]OC([H])([H])C([H])(N([H])C(=O)C(N([H])C(=O)C1([H])N(C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C2([H])N(C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C([H])(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(O[H])C2([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(O[H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1.0	Yes	CC(=O)NC(Cc1ccccc1)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N1CC(O)CC1C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)N1CC(O)CC1C(=O)NC(C)(C)C(=O)NC(CO)Cc1ccccc1)C(C)C	CC(=O)NC(Cc1ccccc1)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N1CC(O)CC1C(=O)NC(CCC(N)=O)C(=O)NC(C)(C)C(=O)N1CC(O)CC1C(=O)NC(C)(C)C(=O)NC(CO)Cc1ccccc1)C(C)C
NCGC00385312-01_C60H98O29_alpha-L-Arabinopyranoside__(3beta_5xi_9xi_16alpha_18xi_22alpha)-22-(acetyloxy)-13_28-epoxy-16_23-dihydroxyoleanan-3-yl_O-beta-D-glucopyranosyl-(1->2)-O-[O-beta-D-glucopyranosyl-(1->4)-O-beta-D-xylopyranosyl-(1->2)-beta-D-glucopyranosyl-(1->4)]-_M+H	1282.62	2.0	40.0	0.0	22.0	164.0	13_28-Epoxy-3_16_22_28-oleananetetrol_22-Ac__3-O-[Ô_-D-glucopyranosyl-(1Šæê2)-[Ô_-D-glucopyranosyl-(1Šæê4)-[Ô_-D-xylopyranosyl-(1Šæê2)]-Ô_-D-glucopyranosyl-(1Šæê4)]-Ô±-L-arabinopyranoside]	35.0	2.0	9.0	1.0	0.0	86.0	109.0	C60H98O29	6.0	none	CC(=O)O[C@H]1CC(C)(C)CC2[C@]13CO[C@@]24CCC5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]9OC[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]7O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@@](C)(CO)C6CC[C@@]5(C)[C@]4(C)C[C@H]3O	C60H98O29	[H]OC([H])([H])C1([H])OC([H])(OC2([H])C([H])(OC3([H])C([H])([H])C([H])([H])C4(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])C5(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C46OC([H])(O[H])C7(C4([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C7([H])OC(=O)C([H])([H])[H])C([H])(O[H])C([H])([H])C56C([H])([H])[H])C3(C([H])([H])[H])C([H])([H])[H])OC([H])([H])C([H])(OC3([H])OC([H])(C([H])([H])O[H])C([H])(OC4([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])OC3([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C3([H])O[H])C2([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H]	0.9655172413793104	Yes	CC(=O)OC1CC(C)(C)CC2C13COC21CCC2C4(C)CCC(OC5OCC(OC6OC(CO)C(O)C(O)C6OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)C5OC5OC(CO)C(O)C(O)C5O)C(C)(CO)C4CCC2(C)C1(C)CC3O	CC(=O)OC1CC(C)(C)CC2C13C(O)CC1(C)C4(C)CCC5C(C)(C)C(OC6OCC(OC7OC(CO)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC7OCC(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)CCC5(C)C4CCC21OC3O
_130099_M+H	873.5210000000001	7.0	4.0	13.0	136.0	75.0	_130099_M+H	34.0	1.0	1.0	37.0	9.0	1.0	311.0	C44H71N7O11	2.0	none	OC1=CC=C(CC(C(NC(C(C)C)C(OC(C(CCCCCCCCCC)C)CC(NC(C(NC(C(NC(C(NC2CCC(N)=O)=O)C)=O)C)=O)C(O)C)=O)=O)=O)NC2=O)C=C1	C44H71N7O11	[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(OC(=O)C([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H]	1.0	Yes	CCCCCCCCCCC(C)C1CC(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)O1	CCCCCCCCCCC(C)C1CC(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)C)C(=O)O1
W493A_130005_M+H	887.5369999999999	7.0	4.0	13.0	136.0	75.0	W493A_130005_M+H	33.0	1.0	3.0	3.0	9.0	1.0	295.0	C45H73N7O11	3.0	none	OC1=CC=C(CC(C(NC(C(CC)C)C(OC(C(CCCCCCCCCC)C)CC(NC(C(NC(C(NC(C(NC2CCC(N)=O)=O)C)=O)C)=O)C(O)C)=O)=O)=O)NC2=O)C=C1	C45H73N7O11	[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])(OC(=O)C([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H]	1.0	Yes	CCCCCCCCCCC(C)C1CC(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)CC)C(=O)O1	CCCCCCCCCCC(C)C1CC(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(C)CC)C(=O)O1
